Label,is_non_descriptive_label
O-itron,
O-linux,
O-linux-gnu,
O-linux-none,
O-loongarch,
O-macos,
O-MIPS,
O-motor-os,
O-motorola68k,
O-msp430,
O-musl,
O-netbsd,
O-neutrino,
O-nintendo3ds,
O-NixOS,
O-NVPTX,
O-openbsd,
O-PowerPC,
O-redox,
O-risc0,
O-riscv,
O-SGX,
O-solaris,
O-solid,
O-SPARC,
O-SystemZ,
O-teeos,
O-termux,
O-trusty,
O-tvos,
O-UEFI,
O-unix,
O-unix-v6,
O-uwp-windows-msvc,
O-visionos,
O-vxworks,
O-wasi,
O-wasip1-threads,
O-wasip2,
O-wasm,
O-watchos,
O-windows,
O-windows-7,
O-windows-gnu,
O-windows-gnullvm,
O-windows-msvc,
O-x32,
O-x86_32,
O-x86_64,
O-xous,
O-xtensa,
O-yocto,
P-critical,True
P-high,True
P-lang-drag-0,True
P-lang-drag-1,True
P-lang-drag-2,True
P-lang-drag-3,True
P-lang-drag-4,True
P-low,True
P-medium,True
perf-regression,
perf-regression-triaged,True
PG-const-generics,
PG-const-traits,
PG-error-handling,
PG-exploit-mitigations,
PG-portable-simd,
proposed-final-comment-period,
regression-from-stable-to-beta,
regression-from-stable-to-nightly,
regression-from-stable-to-stable,
regression-untriaged,True
release-blog-post,
relnotes,
relnotes-perf,
relnotes-tracking-issue,
requires-custom-config,
requires-debug-assertions,
requires-incomplete-features,
requires-internal-features,
requires-nightly,
rla-silenced,
rollup,
S-blocked,True
S-bug-has-test,True
S-experimental,True
S-has-bisection,True
S-has-mcve,True
S-inactive,True
S-needs-info,True
S-needs-repro,True
S-no-work-capacity-tracking,True
S-tracking-at-risk,True
S-tracking-blocked,True
S-tracking-design-concerns,True
S-tracking-forever,True
S-tracking-impl-incomplete,True
S-tracking-needs-deep-research,True
S-tracking-needs-design-proposal,True
S-tracking-needs-documentation,True
S-tracking-needs-migration-lint,True
S-tracking-needs-summary,True
S-tracking-needs-to-bake,True
S-tracking-perma-unstable,True
S-tracking-ready-for-edition,True
S-tracking-ready-to-stabilize,True
S-tracking-remove-implementation,True
S-tracking-unimplemented,True
S-triggers-future-incompat-lint,True
S-types-deferred,True
S-types-tracked,True
S-waiting-on-ACP,True
S-waiting-on-author,True
S-waiting-on-bikeshed,True
S-waiting-on-bors,True
S-waiting-on-concerns,True
S-waiting-on-crater,True
S-waiting-on-documentation,True
S-waiting-on-fcp,True
S-waiting-on-LLVM,True
S-waiting-on-MCP,True
S-waiting-on-perf,True
S-waiting-on-review,True
S-waiting-on-t-bootstrap,True
S-waiting-on-t-clippy,True
S-waiting-on-t-compiler,True
S-waiting-on-t-fls,True
S-waiting-on-t-lang,True
S-waiting-on-t-libs,True
S-waiting-on-t-libs-api,True
S-waiting-on-t-opsem,True
S-waiting-on-t-rustdoc,True
S-waiting-on-t-rustdoc-frontend,True
S-waiting-on-t-types,True
S-waiting-on-team,True
stable-accepted,True
stable-nominated,True
subtree-sync,
T-bootstrap,
T-cargo,
T-clippy,
T-community,
T-compiler,
T-core,
T-crates-io,
T-dev-tools,
T-docs-rs,
T-edition,
T-fls,
T-infra,
T-lang,
T-lang-docs,
T-leadership-council,
T-libs,
T-libs-api,
T-opsem,
T-release,
T-rust-analyzer,
T-rustdoc,
T-rustdoc-frontend,
T-rustfmt,
T-spec,
T-style,
T-testing-devex,
T-triagebot,
T-types,
to-announce,
WG-async,
WG-compiler-performance,
WG-const-eval,
WG-debugging,
WG-diagnostics,
WG-embedded,
WG-epoch,
WG-ffi-unwind,
WG-incr-comp,
WG-llvm,
WG-macros,
WG-mir-opt,
WG-nll,
WG-none,
WG-trait-system-refactor,
WG-traits,
